詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,少し,すこし (sukoshi),一點點,少し疲れました。
,涼しい,すずしい (suzushii),涼快的,クーラーがついています。とても涼しいです。
,ずつ,ずつ (zutsu),每、各,少しずつ食べてください。一點一點地 　一人３つずつあります。每人有三個
,ストーブ,ストーブ (sutoobu),暖爐,ストーブはいりません、寒くないですから。
,スプーン,スプーン (supuun),湯匙,スプーンとフォークを出しておきました。
,ズボン,ズボン (zubon),長褲,姉はあまりズボンをはきません。
,住む,すむ (sumu),居住,大きくなったら外国にすみたいです。
,スリッパ,スリッパ (surippa),拖鞋,くつを脱いで、このスリッパをはいてください。
,する,する (suru),做,します→　勉強＋します　テニスをします
,座る,すわる (suwaru),坐,あの、ここに座ってもいいですか。
,背,せ (se),身高,ミラーさんは背が高いです。
,生徒,せいと (seito),學生,日語的「がくせい」通常指大學生，「せいと」指國中高中生。
,セーター,セーター (seetaa),毛衣,母がセーターをおくってくれました。
